#id: 'mlib_deseq2_clustering_1'
#section_name: 'MERGED LIB: consensus_peaks DESeq2 sample similarity'
#description: "Matrix is generated from clustering with Euclidean distances between
#	       <a href='https://bioconductor.org/packages/release/bioc/html/DESeq2.html' target='_blank'>DESeq2</a>
#              rlog values for each sample
#              in the <a href='https://github.com/nf-core/atacseq/blob/master/bin/deseq2_qc.r'><code>deseq2_qc.r</code></a> script."
#plot_type: 'heatmap'
#anchor: 'mlib_deseq2_clustering_1'
#pconfig:
#    title: 'DESeq2: Heatmap of the sample-to-sample distances'
#    xlab: True
#    reverseColors: True
sample	AkaaF6HSan_REP2	ManzF6HSan_REP3	AkaaF6Ctrl_REP1	ManzF6Ctrl_REP3	AkaaF3Ctrl_REP3	AkaaF3Heat_REP3	AkaaF3Heat_REP1	ManzF6Ctrl_REP1	ManzF3Ctrl_REP2	AkaaF3Ctrl_REP2	ManzF6HSan_REP2	AkaaF6Ctrl_REP3	ManzF3Heat_REP1	ManzF3Ctrl_REP1	ManzF3Heat_REP3	ManzF3Heat_REP2	AkaaF3Heat_REP2	ManzF6HSan_REP1	AkaaF6HSan_REP1	AkaaF6Ctrl_REP2	ManzF3Ctrl_REP3	ManzF6Ctrl_REP2	AkaaF6HSan_REP3	AkaaF3Ctrl_REP1
ManzF3Heat_REP3	75.1335979091101	68.8998515265828	70.7912029566508	62.1921991236895	57.7505096480027	62.424264898067	57.6183794589831	72.3964168196446	68.4905357984578	61.5350281831741	76.3158713330956	70.8404634969772	60.4574810095716	67.9903577353923	0	57.7233495195921	67.0300146389937	70.4109521368656	76.4321495793342	71.1198933575024	67.3225895063194	68.3845874689363	72.0169037812274	64.5934220543605
ManzF3Heat_REP2	78.0255767458013	73.8252945109963	74.2606726545305	67.4268621451912	60.7463091896839	62.322885050619	58.6037343726144	77.0268296034864	74.5394541770026	64.1277231486666	81.736796481623	73.8738924540561	61.0396680290728	74.1070295646777	57.7233495195921	0	65.5212195104457	74.7357486688298	77.6910164561465	73.8047106578917	73.4079441438276	73.4087519070033	75.1988445464742	66.5448979090777
AkaaF3Heat_REP2	77.0722603133076	79.4515048057314	75.0764595701913	75.9967766131631	63.5254087110965	61.7374308102293	63.6680302918549	82.1690221269292	85.2132844943471	65.108349982469	86.3368943674337	73.2835713034561	62.6672149502259	85.9028266734948	67.0300146389937	65.5212195104457	0	78.8354613510269	73.8091728638243	73.8085202289027	82.8473205690041	78.0747948415453	75.2792546652905	64.8577566500031
ManzF6HSan_REP1	36.8731867404186	31.7898602745895	34.1797649237547	33.5864908472822	46.5291527656036	75.3818829762978	73.074139533764	30.857785349445	54.2160427912864	47.287218947775	32.9468724584357	34.6012762923803	67.299290407005	53.9398592482516	70.4109521368656	74.7357486688298	78.8354613510269	0	48.7447502520912	36.920626056178	51.8047084508902	28.9049341561129	36.5012837019027	48.3255104727595
AkaaF6HSan_REP1	45.5513896932984	52.4754616804364	45.4104814093727	54.5593103809402	52.6938453839128	74.2966942784538	75.7384511394763	52.0630353124424	74.2114335460834	53.2232821199693	55.5454426709648	42.8883667540333	68.2005614802644	74.752008392937	76.4321495793342	77.6910164561465	73.8091728638243	48.7447502520912	0	44.3580634291961	70.8283704899915	49.6395580369631	46.5416214872834	50.2788825555623
AkaaF6Ctrl_REP2	37.5441140738459	40.0880376079619	36.1444611408046	41.8265212074894	45.6077755624646	71.9216038537983	71.6820163561877	39.5131690025282	62.5328123295984	46.1210559828698	42.115510106109	34.0992242753757	65.3889217095173	63.0891208835677	71.1198933575024	73.8047106578917	73.8085202289027	36.920626056178	44.3580634291961	0	59.4095010406474	36.5641945523892	37.2281962342926	45.8573064769159
ManzF3Ctrl_REP3	60.4455365407908	50.7786404610104	56.3606561882157	45.1542786674606	51.8977239125488	76.7520787955964	72.134134784309	53.5321594868195	38.6681833462727	52.2985612431731	52.9541289042409	57.711498598476	71.8698752015302	41.6022602377346	67.3225895063194	73.4079441438276	82.8473205690041	51.8047084508902	70.8283704899915	59.4095010406474	0	48.7364303907295	57.8460844381694	59.0031799198383
ManzF6Ctrl_REP2	36.840714150113	30.4822625469132	33.8099342062774	31.0931870538616	44.2527611459595	74.0119312186389	71.7870485212136	29.7019765214449	50.9765199984166	45.4051090439255	30.9826257019173	33.9903481630615	66.5622896316493	52.1102548282588	68.3845874689363	73.4087519070033	78.0747948415453	28.9049341561129	49.6395580369631	36.5641945523892	48.7364303907295	0	35.516770627052	48.0146797673739
AkaaF6HSan_REP3	36.8385936343495	39.289686217474	35.6162292456222	41.7151684741636	45.4983735840006	73.0809594519687	73.0260351866292	38.5079570986797	60.9315982214329	46.4389860781473	41.1583578241936	33.8461762412699	66.9323389206848	61.8756196676973	72.0169037812274	75.1988445464742	75.2792546652905	36.5012837019027	46.5416214872834	37.2281962342926	57.8460844381694	35.516770627052	0	46.7576974503511
AkaaF3Ctrl_REP1	47.0479603450196	50.3398792774795	46.1011594150988	49.4106918840548	41.3154203779295	64.4139622676564	64.7729567987618	52.8042521124499	62.0673003810897	41.204203882851	55.4010876757628	43.912731735383	59.392914697026	62.9838482713427	64.5934220543605	66.5448979090777	64.8577566500031	48.3255104727595	50.2788825555623	45.8573064769159	59.0031799198383	48.0146797673739	46.7576974503511	0
