"Pop"	"Treat"	"Pop_Treat"	"Tube"	"ID"	"Age"	"Density"	"Pupate"	"Cohort"	"ID_Cohort"
"137"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A22"	"A22_Ctrl"	8	5	1	1	"A22_Ctrl_1"
"138"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A22"	"A22_Ctrl"	9	5	1	1	"A22_Ctrl_1"
"139"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A22"	"A22_Ctrl"	9	5	1	1	"A22_Ctrl_1"
"140"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A22"	"A22_Ctrl"	11	5	1	1	"A22_Ctrl_1"
"141"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A22"	"A22_Ctrl"	11	5	1	1	"A22_Ctrl_1"
"142"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A23"	"A23_Ctrl"	8	7	1	1	"A23_Ctrl_1"
"143"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A23"	"A23_Ctrl"	9	7	1	1	"A23_Ctrl_1"
"144"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A23"	"A23_Ctrl"	9	7	1	1	"A23_Ctrl_1"
"145"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A23"	"A23_Ctrl"	9	7	1	1	"A23_Ctrl_1"
"146"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A23"	"A23_Ctrl"	9	7	1	1	"A23_Ctrl_1"
"147"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A23"	"A23_Ctrl"	10	7	1	1	"A23_Ctrl_1"
"148"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A23"	"A23_Ctrl"	11	7	1	1	"A23_Ctrl_1"
"149"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A25"	"A25_Ctrl"	10	2	1	1	"A25_Ctrl_1"
"150"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A25"	"A25_Ctrl"	11	2	1	1	"A25_Ctrl_1"
"151"	"Akaa"	"T37"	"Akaa_T37"	"A1"	"A1_T37"	12	1	1	1	"A1_T37_1"
"152"	"Akaa"	"T37"	"Akaa_T37"	"A3"	"A3_T37"	9	4	1	1	"A3_T37_1"
"153"	"Akaa"	"T37"	"Akaa_T37"	"A3"	"A3_T37"	9	4	1	1	"A3_T37_1"
"154"	"Akaa"	"T37"	"Akaa_T37"	"A3"	"A3_T37"	10	4	1	1	"A3_T37_1"
"155"	"Akaa"	"T37"	"Akaa_T37"	"A3"	"A3_T37"	12	4	1	1	"A3_T37_1"
"156"	"Akaa"	"T37"	"Akaa_T37"	"A4"	"A4_T37"	9	4	1	1	"A4_T37_1"
"157"	"Akaa"	"T37"	"Akaa_T37"	"A4"	"A4_T37"	9	4	1	1	"A4_T37_1"
"158"	"Akaa"	"T37"	"Akaa_T37"	"A4"	"A4_T37"	10	4	1	1	"A4_T37_1"
"159"	"Akaa"	"T37"	"Akaa_T37"	"A4"	"A4_T37"	13	4	1	1	"A4_T37_1"
"160"	"Akaa"	"T37"	"Akaa_T37"	"A6"	"A6_T37"	11	1	1	1	"A6_T37_1"
"161"	"Akaa"	"T37"	"Akaa_T37"	"A7"	"A7_T37"	9	1	1	1	"A7_T37_1"
"162"	"Akaa"	"T37"	"Akaa_T37"	"A8"	"A8_T37"	10	1	1	1	"A8_T37_1"
"163"	"Akaa"	"T37"	"Akaa_T37"	"A10"	"A10_T37"	10	2	1	1	"A10_T37_1"
"164"	"Akaa"	"T37"	"Akaa_T37"	"A10"	"A10_T37"	10	2	1	1	"A10_T37_1"
"165"	"Akaa"	"T37"	"Akaa_T37"	"A12"	"A12_T37"	9	6	1	1	"A12_T37_1"
"166"	"Akaa"	"T37"	"Akaa_T37"	"A12"	"A12_T37"	9	6	1	1	"A12_T37_1"
"167"	"Akaa"	"T37"	"Akaa_T37"	"A12"	"A12_T37"	9	6	1	1	"A12_T37_1"
"168"	"Akaa"	"T37"	"Akaa_T37"	"A12"	"A12_T37"	9	6	1	1	"A12_T37_1"
"169"	"Akaa"	"T37"	"Akaa_T37"	"A12"	"A12_T37"	10	6	1	1	"A12_T37_1"
"170"	"Akaa"	"T37"	"Akaa_T37"	"A12"	"A12_T37"	11	6	1	1	"A12_T37_1"
"171"	"Akaa"	"T37"	"Akaa_T37"	"A13"	"A13_T37"	10	1	1	1	"A13_T37_1"
