Pop	Treat	Pop_Treat	Tube	ID	Day	eggs	pupa	imag	EMiscount	PMiscount
Manz	T37	Manz_T37	M16	M16_T37	5_6	14	12	12	0	0
Manz	T37	Manz_T37	M17	M17_T37	5_6	10	3	3	0	0
Manz	T37	Manz_T37	M18	M18_T37	5_6	0	0	0	0	0
Manz	T37	Manz_T37	M19	M19_T37	5_6	7	5	5	0	0
Manz	T37	Manz_T37	M20	M20_T37	5_6	12	11	11	0	0
Manz	T37	Manz_T37	M21	M21_T37	5_6	4	3	3	0	0
Manz	T37	Manz_T37	M22	M22_T37	5_6	8	1	1	0	0
Manz	T37	Manz_T37	M23	M23_T37	5_6	16	13	11	0	0
Manz	T37	Manz_T37	M24	M24_T37	5_6	7	3	3	0	0
Manz	T37	Manz_T37	M25	M25_T37	5_6	30	28	26	0	0
Akaa	Ctrl	Akaa_Ctrl	A1	A1_Ctrl	13_14	41	36	34	0	0
Akaa	Ctrl	Akaa_Ctrl	A2	A2_Ctrl	13_14	38	20	18	0	0
Akaa	Ctrl	Akaa_Ctrl	A3	A3_Ctrl	13_14	28	23	23	0	0
Akaa	Ctrl	Akaa_Ctrl	A4	A4_Ctrl	13_14	32	32	31	3	0
Akaa	Ctrl	Akaa_Ctrl	A5	A5_Ctrl	13_14	39	39	38	2	0
Akaa	Ctrl	Akaa_Ctrl	A6	A6_Ctrl	13_14	0	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A7	A7_Ctrl	13_14	0	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A8	A8_Ctrl	13_14	29	22	20	0	0
Akaa	Ctrl	Akaa_Ctrl	A9	A9_Ctrl	13_14	35	35	31	4	0
Akaa	Ctrl	Akaa_Ctrl	A10	A10_Ctrl	13_14	33	28	28	0	0
Akaa	Ctrl	Akaa_Ctrl	A11	A11_Ctrl	13_14	27	25	24	0	0
Akaa	Ctrl	Akaa_Ctrl	A12	A12_Ctrl	13_14	31	27	27	0	0
Akaa	Ctrl	Akaa_Ctrl	A13	A13_Ctrl	13_14	22	21	19	0	0
Akaa	Ctrl	Akaa_Ctrl	A14	A14_Ctrl	13_14	53	36	32	0	0
Akaa	Ctrl	Akaa_Ctrl	A15	A15_Ctrl	13_14	51	51	50	9	0
Akaa	Ctrl	Akaa_Ctrl	A16	A16_Ctrl	13_14	33	33	32	0	0
Akaa	Ctrl	Akaa_Ctrl	A17	A17_Ctrl	13_14	31	31	30	2	0
Akaa	Ctrl	Akaa_Ctrl	A18	A18_Ctrl	13_14	31	31	29	2	0
Akaa	Ctrl	Akaa_Ctrl	A19	A19_Ctrl	13_14	38	38	36	5	0
Akaa	Ctrl	Akaa_Ctrl	A20	A20_Ctrl	13_14	27	27	26	1	0
Akaa	Ctrl	Akaa_Ctrl	A21	A21_Ctrl	13_14	42	42	40	8	0
Akaa	Ctrl	Akaa_Ctrl	A22	A22_Ctrl	13_14	43	39	35	0	0
