Pop	Treat	Pop_Treat	Tube	ID	Day	eggs	pupa	imag	EMiscount
Akaa	T37	Akaa_T37	A13	A13_T37	5_6	20	9	9	0
Akaa	T37	Akaa_T37	A14	A14_T37	5_6	0	0	0	0
Akaa	T37	Akaa_T37	A15	A15_T37	5_6	14	3	3	0
Akaa	T37	Akaa_T37	A16	A16_T37	5_6	0	0	0	0
Akaa	T37	Akaa_T37	A17	A17_T37	5_6	27	10	10	0
Akaa	T37	Akaa_T37	A18	A18_T37	5_6	22	15	14	0
Manz	Ctrl	Manz_Ctrl	M1	M1_Ctrl	5_6	3	0	0	0
Manz	Ctrl	Manz_Ctrl	M2	M2_Ctrl	5_6	31	0	0	0
Manz	Ctrl	Manz_Ctrl	M3	M3_Ctrl	5_6	27	21	19	0
Manz	Ctrl	Manz_Ctrl	M4	M4_Ctrl	5_6	34	19	17	0
Manz	Ctrl	Manz_Ctrl	M5	M5_Ctrl	5_6	31	0	0	0
Manz	Ctrl	Manz_Ctrl	M6	M6_Ctrl	5_6	18	6	6	0
Manz	Ctrl	Manz_Ctrl	M7	M7_Ctrl	5_6	17	8	7	0
Manz	Ctrl	Manz_Ctrl	M8	M8_Ctrl	5_6	31	19	13	0
Manz	Ctrl	Manz_Ctrl	M9	M9_Ctrl	5_6	17	0	0	0
Manz	Ctrl	Manz_Ctrl	M10	M10_Ctrl	5_6	34	10	7	0
Manz	Ctrl	Manz_Ctrl	M11	M11_Ctrl	5_6	20	7	7	0
Manz	Ctrl	Manz_Ctrl	M12	M12_Ctrl	5_6	31	7	4	0
Manz	Ctrl	Manz_Ctrl	M13	M13_Ctrl	5_6	0	0	0	0
Manz	Ctrl	Manz_Ctrl	M14	M14_Ctrl	5_6	12	3	2	0
Manz	Ctrl	Manz_Ctrl	M15	M15_Ctrl	5_6	27	1	0	0
Manz	Ctrl	Manz_Ctrl	M16	M16_Ctrl	5_6	23	0	0	0
Manz	Ctrl	Manz_Ctrl	M17	M17_Ctrl	5_6	21	4	3	0
Manz	Ctrl	Manz_Ctrl	M18	M18_Ctrl	5_6	33	20	18	0
Manz	T37	Manz_T37	M1	M1_T37	5_6	33	26	11	0
Manz	T37	Manz_T37	M2	M2_T37	5_6	25	15	14	0
Manz	T37	Manz_T37	M3	M3_T37	5_6	37	32	23	0
Manz	T37	Manz_T37	M4	M4_T37	5_6	43	18	11	0
