target_id	length	eff_length	est_counts	tpm
FBtr0308831	1596	1392.16	16.1615	0.38286
FBtr0070460	1780	1576.16	3	0.0627724
FBtr0070461	931	727.158	0	0
FBtr0070462	1537	1333.16	0	0
FBtr0070471	4805	4601.16	373.378	2.67627
FBtr0070472	3021	2817.16	46.5504	0.544954
FBtr0070473	3091	2887.16	0	0
FBtr0070474	3218	3014.16	96.2824	1.05348
FBtr0070475	3174	2970.16	778.39	8.643
FBtr0070476	2745	2541.16	0	0
FBtr0070466	2847	2643.16	209.732	2.61691
FBtr0070467	2929	2725.16	0	0
FBtr0070468	3055	2851.16	1928.59	22.3083
FBtr0070469	4244	4040.16	1255.33	10.2473
FBtr0070470	3110	2906.16	0	0
FBtr0112828	2903	2699.16	0	0
FBtr0301966	3182	2978.16	23.6784	0.262212
FBtr0302185	2166	1962.16	45.2184	0.760027
FBtr0331751	4750	4546.16	19.4416	0.141038
FBtr0331752	4499	4295.16	65.4108	0.502247
FBtr0331753	5004	4800.16	64.9978	0.446571
FBtr0481696	2967	2763.16	0	0
FBtr0481697	3347	3143.16	0	0
FBtr0070477	4527	4323.16	297.324	2.26817
FBtr0332311	4441	4237.16	144.676	1.12608
FBtr0070478	1645	1441.16	189.73	4.34181
FBtr0345709	1765	1561.16	364.27	7.69527
FBtr0070479	1357	1153.16	1688	48.276
FBtr0070480	2283	2079.16	7	0.111034
FBtr0070481	3075	2871.16	170.099	1.95385
FBtr0070482	3152	2948.16	422.751	4.72913
FBtr0310649	3066	2862.16	1702.15	19.6133
FBtr0070484	3502	3298.16	273	2.72985
FBtr0070485	2235	2031.16	7559	122.735
FBtr0070487	2002	1798.16	937	17.1854
FBtr0070488	1804	1600.16	626.941	12.9215
FBtr0070489	966	762.158	0	0
FBtr0070490	2352	2148.16	238	3.65391
FBtr0070491	1845	1641.16	1209.5	24.3053
FBtr0070492	1866	1662.16	52.464	1.04097
FBtr0070493	1829	1625.16	616.438	12.5095
FBtr0309881	2070	1866.16	0	0
